UID,StateCode,StateName,County,City,Aggregator,PricePerPound,PricePerTon
61697,WA,Washington,KING,Auburn,Algona,0.6600,1320
61698,WA,Washington,KING,Auburn,Federal Way,0.5100,1020
61699,WA,Washington,KING,Auburn,Auburn,0.4800,960
61700,WA,Washington,KING,Federal Way,Federal Way,0.5300,1060
61701,WA,Washington,KING,Federal Way,Auburn,0.5500,1100
61702,WA,Washington,KING,Bellevue,Bellevue,0.6800,1360
61703,WA,Washington,KING,Bellevue,Clyde Hill,0.6900,1380
61704,WA,Washington,KING,Bellevue,Hunts Point,0.5900,1180
61705,WA,Washington,KING,Bellevue,Beaux Arts,0.4900,980
61706,WA,Washington,KING,Bellevue,Beaux Arts Village,0.6700,1340
61707,WA,Washington,KING,Bellevue,Yarrow Point,0.5700,1140
61708,WA,Washington,KING,Bellevue,Newport Hills,0.4600,920
61709,WA,Washington,KING,Bellevue,Eastgate,0.4800,960
61710,WA,Washington,KING,Black Diamond,Black Diamond,0.5100,1020
61711,WA,Washington,KING,Black Diamond,Morganville,0.4500,900
61712,WA,Washington,KING,Bothell,Inglewood,0.6500,1300
61713,WA,Washington,KING,Bothell,Queensgate,0.6600,1320
61714,WA,Washington,KING,Bothell,Bothell,0.5900,1180
61717,WA,Washington,KING,Burton,Vashon,0.5800,1160
61718,WA,Washington,KING,Burton,Burton,0.6400,1280
61719,WA,Washington,KING,Carnation,Lake Joy,0.5800,1160
61720,WA,Washington,KING,Carnation,Carnation,0.4500,900
61721,WA,Washington,KING,Duvall,Duvall,0.6000,1200
61727,WA,Washington,KING,Enumclaw,Greenwater,0.6300,1260
61728,WA,Washington,KING,Enumclaw,Wabash,0.6400,1280
61729,WA,Washington,KING,Enumclaw,Cumberland,0.5500,1100
61730,WA,Washington,KING,Enumclaw,Osceola,0.7000,1400
61731,WA,Washington,KING,Enumclaw,Enumclaw,0.4500,900
61732,WA,Washington,KING,Enumclaw,Krain,0.6300,1260
61733,WA,Washington,KING,Enumclaw,Crystal Mountain,0.6700,1340
61734,WA,Washington,KING,Fall City,Lake Alice,0.5800,1160
61735,WA,Washington,KING,Fall City,Fall City,0.4500,900
61736,WA,Washington,KING,Fall City,Spring Glen,0.4700,940
61737,WA,Washington,KING,Hobart,Hobart,0.5000,1000
61738,WA,Washington,KING,Issaquah,Coal Creek,0.5100,1020
61739,WA,Washington,KING,Issaquah,Issaquah,0.5800,1160
61740,WA,Washington,KING,Issaquah,Pine Lake,0.4500,900
61741,WA,Washington,KING,Kenmore,Kenmore,0.5100,1020
61742,WA,Washington,KING,Kenmore,Bothell,0.5900,1180
61743,WA,Washington,KING,Kent,Kent,0.6800,1360
61744,WA,Washington,KING,Kent,Midway,0.6000,1200
61745,WA,Washington,KING,Kent,Woodmont Beach,0.4500,900
61746,WA,Washington,KING,Kirkland,Totem Lake,0.6200,1240
61747,WA,Washington,KING,Kirkland,Houghton,0.5900,1180
61748,WA,Washington,KING,Kirkland,Kirkland,0.5900,1180
61749,WA,Washington,KING,Kirkland,Juanita,0.5600,1120
61750,WA,Washington,KING,Kirkland,Kingsgate,0.5800,1160
61753,WA,Washington,KING,Maple Valley,Wilderness Village,0.6500,1300
61754,WA,Washington,KING,Maple Valley,Maple Valley,0.4800,960
61755,WA,Washington,KING,Maple Valley,Four Corners,0.5900,1180
61756,WA,Washington,KING,Medina,Medina,0.5300,1060
61757,WA,Washington,KING,Mercer Island,Mercer Island,0.5600,1120
61758,WA,Washington,KING,Kent,Covington,0.5400,1080
61759,WA,Washington,KING,Kent,Lake Sawyer,0.6900,1380
61762,WA,Washington,KING,North Bend,Denny Creek,0.6700,1340
61763,WA,Washington,KING,North Bend,North Bend,0.5800,1160
61764,WA,Washington,KING,North Bend,Cedar Falls,0.5200,1040
61765,WA,Washington,KING,Pacific,Auburn,0.6200,1240
61766,WA,Washington,KING,Pacific,Pacific,0.5600,1120
61767,WA,Washington,KING,Preston,Preston,0.6600,1320
61768,WA,Washington,KING,Ravensdale,Kanaskat,0.5300,1060
61769,WA,Washington,KING,Ravensdale,Palmer,0.6800,1360
61770,WA,Washington,KING,Ravensdale,Ravensdale,0.5100,1020
61771,WA,Washington,KING,Redmond,Adelaide,0.7000,1400
61772,WA,Washington,KING,Redmond,Avondale,0.4800,960
61773,WA,Washington,KING,Redmond,Ames Lake,0.5600,1120
