UID,StateCode,StateName,County,City,Aggregator,PricePerPound,PricePerTon
1,NY,New York,SUFFOLK,Holtsville,Internal Revenue Service,0.5100,1020
2,NY,New York,SUFFOLK,Holtsville,Holtsville,0.4900,980
3,PR,Puerto Rico,ADJUNTAS,Adjuntas,URB San Joaquin,0.5900,1180
4,PR,Puerto Rico,ADJUNTAS,Adjuntas,Jard De Adjuntas,0.4800,960
5,PR,Puerto Rico,ADJUNTAS,Adjuntas,Colinas Del Gigante,0.4800,960
6,PR,Puerto Rico,ADJUNTAS,Adjuntas,Adjuntas,0.4700,940
7,PR,Puerto Rico,AGUADA,Aguada,Comunidad Las Flores,0.6400,1280
8,PR,Puerto Rico,AGUADA,Aguada,URB Isabel La Catolica,0.5500,1100
9,PR,Puerto Rico,AGUADA,Aguada,Alts De Aguada,0.6000,1200
10,PR,Puerto Rico,AGUADA,Aguada,Bo Guaniquilla,0.6000,1200
11,PR,Puerto Rico,AGUADA,Aguada,Aguada,0.6000,1200
12,PR,Puerto Rico,AGUADA,Aguada,Ext Los Robles,0.4800,960
13,PR,Puerto Rico,AGUADILLA,Aguadilla,Ramey,0.5700,1140
14,PR,Puerto Rico,AGUADILLA,Aguadilla,Aguadilla,0.5300,1060
15,PR,Puerto Rico,AGUADILLA,Aguadilla,Repto Lopez,0.5600,1120
16,PR,Puerto Rico,AGUADILLA,Aguadilla,URB Maleza Gdns,0.5300,1060
17,PR,Puerto Rico,AGUADILLA,Aguadilla,URB Victoria,0.5700,1140
18,PR,Puerto Rico,AGUADILLA,Aguadilla,Repto Tres Palmas,0.5000,1000
19,PR,Puerto Rico,AGUADILLA,Aguadilla,Sect Las Villas,0.6200,1240
20,PR,Puerto Rico,AGUADILLA,Aguadilla,URB Garcia,0.4600,920
21,PR,Puerto Rico,AGUADILLA,Aguadilla,Villa Linda,0.6500,1300
22,PR,Puerto Rico,AGUADILLA,Aguadilla,Villa Universitaria,0.6400,1280
23,PR,Puerto Rico,AGUADILLA,Aguadilla,Bo Ceiba Baja,0.5200,1040
24,PR,Puerto Rico,AGUADILLA,Aguadilla,URB Borinquen,0.6800,1360
25,PR,Puerto Rico,AGUADILLA,Aguadilla,Villa Alegria,0.6900,1380
26,PR,Puerto Rico,AGUADILLA,Aguadilla,Vista Alegre,0.4900,980
27,PR,Puerto Rico,AGUADILLA,Aguadilla,URB San Carlos,0.4700,940
28,PR,Puerto Rico,AGUADILLA,Aguadilla,Bda Caban,0.6500,1300
29,PR,Puerto Rico,AGUADILLA,Aguadilla,Ext El Prado,0.5300,1060
30,PR,Puerto Rico,AGUADILLA,Aguadilla,URB Esteves,0.4600,920
31,PR,Puerto Rico,AGUADILLA,Aguadilla,URB Ramey,0.5600,1120
32,PR,Puerto Rico,AGUADILLA,Aguadilla,Villas De Almeria,0.5400,1080
33,PR,Puerto Rico,AGUADILLA,Aguadilla,Bda Esteves,0.5200,1040
34,PR,Puerto Rico,AGUADILLA,Aguadilla,URB Las Americas,0.5900,1180
35,PR,Puerto Rico,AGUADILLA,Aguadilla,URB Las Casitas Country Club,0.5100,1020
36,PR,Puerto Rico,AGUADILLA,Aguadilla,URB Santa Marta,0.5500,1100
37,PR,Puerto Rico,AGUADILLA,Aguadilla,Ext Marbella,0.6600,1320
38,PR,Puerto Rico,AGUADILLA,Aguadilla,Repto Juan Aguiar,0.5000,1000
39,PR,Puerto Rico,AGUADILLA,Aguadilla,Villa Lydia,0.4800,960
40,PR,Puerto Rico,AGUADILLA,Aguadilla,Bo Borinquen,0.5800,1160
41,PR,Puerto Rico,AGUADILLA,Aguadilla,Repto Jimenez,0.4700,940
42,PR,Puerto Rico,AGUADILLA,Aguadilla,URB El Prado,0.4600,920
43,PR,Puerto Rico,AGUADILLA,Aguadilla,URB Marbella,0.5100,1020
44,PR,Puerto Rico,AGUADILLA,Aguadilla,URB Rubianes,0.4700,940
45,PR,Puerto Rico,AGUADILLA,Aguadilla,Vista Verde,0.5600,1120
46,PR,Puerto Rico,MARICAO,Maricao,Maricao,0.5700,1140
47,PR,Puerto Rico,MARICAO,Maricao,URB San Juan Bautista,0.4700,940
48,PR,Puerto Rico,ANASCO,Anasco,Anasco,0.5900,1180
49,PR,Puerto Rico,ANASCO,Anasco,Jard De Anasco,0.6800,1360
50,PR,Puerto Rico,ANASCO,Anasco,Repto Daguey,0.6500,1300
51,PR,Puerto Rico,ANASCO,Anasco,URB San Antonio,0.6100,1220
52,PR,Puerto Rico,ANASCO,Anasco,Brisas De Anasco,0.6100,1220
53,PR,Puerto Rico,ANASCO,Anasco,Paseo Del Valle,0.6000,1200
54,PR,Puerto Rico,ANASCO,Anasco,Est De Valle Verde,0.4600,920
55,PR,Puerto Rico,UTUADO,Angeles,Angeles,0.6400,1280
56,PR,Puerto Rico,ARECIBO,Arecibo,Comunidad Buenos Aires,0.6300,1260
57,PR,Puerto Rico,ARECIBO,Arecibo,Ext Tanama,0.6600,1320
58,PR,Puerto Rico,ARECIBO,Arecibo,Jard De San Rafael,0.5300,1060
59,PR,Puerto Rico,ARECIBO,Arecibo,URB College Park Iv,0.4800,960
60,PR,Puerto Rico,ARECIBO,Arecibo,URB Los Pinos,0.4600,920
61,PR,Puerto Rico,ARECIBO,Arecibo,Villa Lucia,0.6800,1360
62,PR,Puerto Rico,ARECIBO,Arecibo,Vista Del Atlantico,0.5400,1080
63,PR,Puerto Rico,ARECIBO,Arecibo,Bo El Pasaje,0.5900,1180
64,PR,Puerto Rico,ARECIBO,Arecibo,Hacienda Toledo,0.4800,960
65,PR,Puerto Rico,ARECIBO,Arecibo,Jard De Arecibo,0.5000,1000
66,PR,Puerto Rico,ARECIBO,Arecibo,Parc Mattey,0.7000,1400
67,PR,Puerto Rico,ARECIBO,Arecibo,Parq De Jardines,0.4700,940
68,PR,Puerto Rico,ARECIBO,Arecibo,URB Arecibo Gdns,0.6700,1340
69,PR,Puerto Rico,ARECIBO,Arecibo,URB Costas Del Atlantico,0.6300,1260
70,PR,Puerto Rico,ARECIBO,Arecibo,URB Los Llanos,0.5800,1160
71,PR,Puerto Rico,ARECIBO,Arecibo,URB Martell,0.6900,1380
72,PR,Puerto Rico,ARECIBO,Arecibo,URB Regional,0.5000,1000
73,PR,Puerto Rico,ARECIBO,Arecibo,Villa Serena,0.5300,1060
74,PR,Puerto Rico,ARECIBO,Arecibo,Vista Azul,0.5700,1140
75,PR,Puerto Rico,ARECIBO,Arecibo,Bda Duhamel,0.4500,900
76,PR,Puerto Rico,ARECIBO,Arecibo,Ext Villa Los Santos I,0.6100,1220
77,PR,Puerto Rico,ARECIBO,Arecibo,Parc Navas,0.4700,940
78,PR,Puerto Rico,ARECIBO,Arecibo,Paseos Reales,0.5300,1060
79,PR,Puerto Rico,ARECIBO,Arecibo,URB San Daniel,0.5300,1060
80,PR,Puerto Rico,ARECIBO,Arecibo,Villa Los Santos,0.6700,1340
